0, 8, 100, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000044
1, 8, 99, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000043
2, 8, 1, 100, 100, 100, 1, 1, 1, 0, 1, 1, 0.000035
3, 8, 100, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000042
4, 8, 99, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000045
5, 8, 99, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000045
6, 8, 99, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000042
7, 8, 100, 100, 100, 100, 1, 1, 1, 0, 0, 0, 0.000044
0, 8, 200, 200, 200, 200, 1, 1, 1, 0, 0, 0, 0.000235
1, 8, 1, 200, 200, 200, 1, 1, 1, 0, 1, 1, 0.000248
2, 8, 0, 200, 200, 200, 1, 1, 1, 0, 1, 1, 0.000251
3, 8, 1, 200, 200, 200, 1, 1, 1, 0, 1, 1, 0.000242
4, 8, 200, 200, 200, 200, 1, 1, 1, 0, 0, 0, 0.000238
5, 8, 0, 200, 200, 200, 1, 1, 1, 0, 1, 1, 0.000250
6, 8, 200, 200, 200, 200, 1, 1, 1, 0, 0, 0, 0.000237
7, 8, 1, 200, 200, 200, 1, 1, 1, 0, 1, 1, 0.000250
0, 8, 556, 300, 556, 300, 1, 1, 1, 1, 0, 1, 0.000198
1, 8, 611, 300, 611, 300, 1, 1, 1, 1, 0, 1, 0.000213
2, 8, 612, 300, 613, 300, 1, 1, 1, 1, 0, 1, 0.000111
3, 8, 582, 300, 582, 300, 1, 1, 1, 1, 0, 1, 0.000206
4, 8, 553, 300, 553, 300, 1, 1, 1, 1, 0, 1, 0.000198
5, 8, 1, 1, 15000000, 300, 1, 1, 1, 1, 1, 0, 4.944484
6, 8, 598, 300, 599, 300, 1, 1, 1, 1, 0, 1, 0.000208
7, 8, 0, 0, 15000000, 300, 1, 1, 1, 1, 1, 0, 4.925401
0, 8, 400, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000173
1, 8, 0, 400, 400, 400, 1, 1, 1, 0, 1, 1, 0.000180
2, 8, 399, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000174
3, 8, 400, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000175
4, 8, 400, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000173
5, 8, 400, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000175
6, 8, 399, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000176
7, 8, 399, 400, 400, 400, 1, 1, 1, 0, 0, 0, 0.000174
0, 8, 1012, 500, 1012, 500, 1, 1, 1, 1, 0, 1, 0.000345
1, 8, 959, 500, 959, 500, 1, 1, 1, 1, 0, 1, 0.000335
2, 8, 995, 500, 996, 500, 1, 1, 1, 1, 0, 1, 0.000180
3, 8, 2, 2, 15000000, 500, 1, 1, 1, 1, 1, 0, 5.147199
4, 8, 1014, 500, 1014, 500, 1, 1, 1, 1, 0, 1, 0.000351
5, 8, 1, 1, 15000000, 500, 1, 1, 1, 1, 1, 0, 5.220209
6, 8, 1032, 500, 1033, 500, 1, 1, 1, 1, 0, 1, 0.000352
7, 8, 1008, 500, 1010, 500, 1, 1, 1, 1, 0, 1, 0.000345
0, 8, 207, 100, 207, 100, 1, 1, 2, 1, 0, 1, 0.000179
1, 8, 193, 100, 195, 100, 1, 1, 2, 1, 0, 1, 0.000174
2, 8, 224, 100, 225, 100, 1, 1, 2, 1, 0, 1, 0.000187
3, 8, 209, 100, 210, 100, 1, 1, 2, 1, 0, 1, 0.000183
4, 8, 195, 100, 195, 100, 1, 1, 2, 1, 0, 1, 0.000180
5, 8, 5, 5, 15000000, 100, 1, 1, 2, 1, 1, 0, 4.969797
6, 8, 0, 0, 15000000, 100, 1, 1, 2, 1, 1, 0, 5.115958
7, 8, 236, 100, 236, 100, 1, 1, 2, 1, 0, 1, 0.000206
0, 8, 200, 200, 200, 200, 1, 1, 2, 0, 0, 0, 0.000124
1, 8, 200, 200, 200, 200, 1, 1, 2, 0, 0, 0, 0.000237
2, 8, 0, 200, 200, 200, 1, 1, 2, 0, 1, 1, 0.000229
3, 8, 2, 200, 200, 200, 1, 1, 2, 0, 1, 1, 0.000247
4, 8, 199, 200, 200, 200, 1, 1, 2, 0, 0, 0, 0.000238
5, 8, 1, 200, 200, 200, 1, 1, 2, 0, 1, 1, 0.000248
6, 8, 200, 200, 200, 200, 1, 1, 2, 0, 0, 0, 0.000225
7, 8, 1, 200, 200, 200, 1, 1, 2, 0, 1, 1, 0.000190
0, 8, 617, 300, 617, 300, 1, 1, 2, 1, 0, 1, 0.000215
1, 8, 619, 300, 620, 300, 1, 1, 2, 1, 0, 1, 0.000217
2, 8, 0, 0, 15000000, 300, 1, 1, 2, 1, 1, 0, 4.899868
3, 8, 0, 0, 15000000, 300, 1, 1, 2, 1, 1, 0, 4.924538
4, 8, 0, 0, 15000000, 300, 1, 1, 2, 1, 1, 0, 5.180806
